"Date Made Public","Company","Location","Type of breach","Type of organization","Records Breached","Total Records","Description of incident","Information Source","Source URL"
"January 5, 2016","Washington Hospital Healthcare System","Fremont, California","HACK","MED","Unknown","Unknown","Washington Township Health Care District has notified individuals of a data breach to their system located in the Washington Community Health Resource Library. This system is used to maintain library identification cards. The information compromised included names, addresses, and driver's license numbers.For questions call 1-888-668-9189 Monday through Friday 6:00 am to 6:00 pm PST.More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-59419","California Attorney General",""
"January 8, 2016","Time Warner Cable","San Diego, California","HACK","BSO","320,000","Unknown","Time Warner Cable discovered that their online systems were hacked compromising the username and passwords of approximately 320,000 of its customers. ""The telecommunications giant says the FBI informed it of the apparent breach. As a precaution, the company is now contacting affected customers to advise them to change their account passwords.""More information: http://www.foxnews.com/tech/2016/01/08/time-warner-cable-says-320000-cus...","Media",""
"January 6, 2016","Indiana University Health Arnett Hospital","Lafayette, Indiana","PORT","MED","Unknown","Unknown","Indiana University Health Arnett Hospital notified patients of a data breach when the hospital became aware of a missing unencrypted flash drive from their emergency department. The information compromised included patient information from emergency department visits, names, dates of birth, ages, home telephone numbers, medical record numbers, dates of service, diagnoses and treating physicians. More information: http://www.beckershospitalreview.com/healthcare-information-technology/f... ","Media",""
"January 5, 2016","Southern New Hampshire University","Hooksett, New Hampshire","DISC","EDU","140,000","Unknown","Southern New Hampshire University is investigating disclosure of a database that contained student information, The database contained more than 140,000 records including student names, email addresses, and ID's, course name, course selection, assignment details and assignment score, instructor names and email addresses. The University claims that a third party vendor exposed the data due to a configuration error. More information: http://www.csoonline.com/article/3019278/security/snhu-still-investigati...","Media",""
"January 15, 2016","Hyatt Hotels","Chicago, Illinois","HACK","BSO","Unknown","Unknown","The Hyatt hotel chain has notified individuals of a data breach when they discovered 250 of their 627 hotels were infected with malware that stole information, in particular, credit/debit card information.The malware infected restaurants, spas, parking, golf shops, front desk reception. The infection may have started as early as July 30, 2015 to December 8, 2015 and affecting hotels in US, UK, China, Germany, Japan, Italy, France, Russia and Canada. Hyatt is offering one year of credit monitoring for free via CSID.Click on the link for global list of sitesMore information: http://www.zdnet.com/article/250-hyatt-hotels-infected-last-year-with-pa...","Media",""
"January 25, 2016","University of Virginia","Charlottesville, Virginia","HACK","EDU","1,440","1,440","The University of Virginia has notified employees of a data breach, when a cyber attack of their human resources system was discovered. The attack was initiated by a phishing email asking for usernames and passwords to their HR system and one or more employees fell for the phishing scam. The information compromised included 1,400 W2's (which includes names, addresses, Social Security numbers,etc) of employees and direct deposit banking information of an additional 40 employees. According to the university the attackers gained access to the system sometime in early November 2014 and continued through February 2015. The FBI led investigation has resulted in the arrest of suspects who are currently being held in custody, no names have been released.More information: http://www.zdnet.com/article/university-of-virginia-data-breach-exposed-... ","Media",""
"December 28, 2015","Unconfirmed","","DISC","BSO","191 million","Unknown","The Hill has communicated that ""Security bloggers and researchers claim to have uncovered a publicly available database exposing the personal information of 191 million voters on the Internet.The
 information contains voters’ names, home addresses, voter IDs, phone 
numbers and date of birth, as well as political affiliations and a 
detailed voting history since 2000.""In many states, this information is a matter of public record. However there are several states such as South Dakota that require confirmation of those who are using the information to consent that they will not use or sell the information for commercial purposes or placed on the Internet for anyone to access. Currently, no company has claimed the database so it is unclear who the information belongs to or how the information was put up on the Internet. As more information is discovered, we will update as appropriate. More information: http://thehill.com/policy/cybersecurity/264297-report-191m-voter-records...","",""
"January 16, 2016","Berks & Beyond Employment Services","Allentown, Pennsylvania","STAT","BSO","Unknown","Unknown","Stacks of paperwork from an employment agency was found dumped in containers at The City of Allentown Center for Recycling and Solid Waste. The files were not secure as they were placed in a public trash bin. The information exposed included names, Social Security numbers, addresses and other information.More information: http://www.mcall.com/news/local/watchdog/mc-employment-agency-applicatio...","Media",""
"January 6, 2016","McFadden","Glendale, Arizona","CARD","BSO","Unknown","Unknown","People who ate at McFadden's received phone calls about fraudulent charges made to their credit card. ""The victims were told by their banks, the charges were made using a fake
 credit card. ABC15 found even more victims when we searched on Yelp. 
One writes, the manager told them they were aware of the problem, 
suggesting a problem with the bank.""More information: http://www.abc15.com/news/region-west-valley/glendale/mcfaddens-at-westg...","Media",""
"January 16, 2016","Gas and Shop","San Anselmo, California","HACK","BSO","20","20","The Central Marin Police have been investigating a skimming operation that as many as 20 people may have been victims of after the police received reports from individuals claiming that their credit/debit card information was compromised. The investigation revealed that skimming devices were placed on the gas pumps at the Gas and Shop station in San Anselmo. ""Police said the suspects used physical skimming devices to obtain the cards' information, and detectives have since checked all the gas pumps at the station to make sure the devices are no longer in place.
        Police said they expected more than 20 people were victimized and the fraud has been occurring throughout Marin, Sonoma and Contra Costa counties.""More information: http://www.marinscope.com/twin_cities_times/news/at-least-people-are-vic...","Media",""
"January 18, 2016","University of Northern Iowa","Cedar Falls, Iowa","UNKN","EDU","100","100","Over 100 University of Northern Iowa employees reported that their tax returns had been rejected in 2014 because someone had filed a return fraudulently on their behalf, collecting their refund. After further investigation, a 45 year old man, Bernard Ogie Oretekor has been charged with the tax indentity theft when computers belonging to Oretekor in connection with a separate investigation, uncovered the information on the employees. It is still not clear how Oretekor gained this information on the employees. More information: http://www.kcrg.com/content/news/Suspect-Charged-in-University-of-Northe...","Media",""
"January 18, 2016","Crest Foods","Oklahoma City, Oklahoma","PHYS","BSO","Unknown","Unknown","An individual contacted a local news agency in Oklahoma City, Oklahoma when information on Crest Food employees was found in a dumpster at a recycling facility. The information this individual found on one employee included her application of employement, direct deposit form. Another individuals Social Security number and bank routing numbers were exposed.The grocery store chain is currently investigation the issue with both their internal procedures and procedures with a third party vendor that they use to destroy sensitive information. More information: http://www.news9.com/story/30995309/personal-information-found-on-discar...","Media",""
"January 19, 2016","Unknown","Indianapolis, Indiana","PHYS","BSF","Unknown","Unknown","An individual contacted a local TV station regarding records found in a dumpster outside a strip mall in Indianapolis Indiana. These documents were people's tax returns containing addresses, names and Social Security numbers. The amount of individuals affected or the company that prepared the tax returns is not yet known. More information: http://www.theindychannel.com/news/call-6-investigators/call-6-tax-docum...","Media",""
"January 12, 2016","Rate My Professors","New York, New York","HACK","BSO","Unknown","Unknown","RateMyProfessors.com notified customers of a data breach when they discovered unauthorized access to a ""Decommissioned Site"" which allowed the hackers to gain access to the companies live site. The information compromised included email addresses and passwords for registered users of the site. The site does not collect payment card information, Social Security numbers, driver's license numbers or insurance numbers. The company is requiring individuals change their username and passwords. More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-59576","California Attorney General",""
"January 12, 2016","JB Autosports","Des Moines, Iowa","HACK","BSO","Unknown","Unknown","JB Autosports, Inc. notified customers of a data breach when the system their check out page was the target of a cyberattack. The cyberattack affected customers who used their credit cards to pay for purchases from the companies website.The information compromised included names, addresses, credit card numbers, credit card expiration dates, CID numbers, CAV2 numbers, CVC2 numbers and CVV2 numbers.More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-59575","California Attorney General",""
"February 2, 2016","Hawaii Medical Service Association (HMSA)","Honolulu, Hawaii","DISC","MED","10,800","Unknown","HMSA notified 10,800 members of a data breach when letters communicating care management went to the wrong addresses.The information compromised included patient names, management of certain health conditions and steps individuals could take to identify or treat an ailment.""Members are encouraged to visit hmsa.com/media-center to see copies of the letters. Members who have questions about this mailing can visit an HMSA Center or office. They can also call (808) 948-6404 on Oahu and 1 (800) 459-3963 toll-free on the Neighbor Islands or the Mainland, from  8 a.m.- 5 p.m. Hawaii Time, Monday to Friday.""More information: https://hmsa.com/media-center/2015/12/letter-error/","Databreaches.net",""
"February 1, 2016","Tax Slayer","Evans, Georgia","HACK","BSF","8,800","8,800","Tax Slayer is notifying customers of a data breach that may have affected their 2014 tax return information. The company is stating that an unauthorized party accessed the information through a third party vendor. The company is not stating who the vendor is. The information compromised included names, addresses, Social Security numbers, Social Security numbers of independents and other data contained in a tax return.""The company is making $1 million worth of identity theft insurance available to those affected for one year along with credit monitoring for the same period. The company is recommending that these individuals change not only their TaxSlayer user names and passwords, but also those on any other accounts on which they are used.""More information: http://www.scmagazine.com/taxslayer-breached-8800-customers-notified-pii...","Media",""
"January 13, 2016","Tax Act","Cedar Rapids, Iowa","HACK","BSF","450","450","TaxAct has notified customers of a data breach when an unauthorized party or party's infiltrated their system. ""According to the letter dated January 11, TaxAct found evidence that certain accounts were entered between Nov. 10, 2015 and Dec. 4, 2015. The attacker viewed and possibly copied or printed stored tax returns and thus had access to Social Security numbers, addressed, names, driver's license numbers and bank account information.""The company has not released how many individuals were affected by this breach. They are claiming that less than 0.25 percent were affected.  The company is offering one year free of credit monitoring and a $1 million dollar insurance reimbursement policy. More Information: http://www.scmagazine.com/taxact-breached-customer-banking-and-social-se...More Information: http://www.wsj.com/articles/tax-preparation-firm-discloses-data-breach-1...","Media",""
"February 1, 2016","Neiman Marcus","Dallas, Texas","HACK","BSO","5,200","Unknown","Neiman Marcus has notified individuals of a data breach when the company discovered unauthorized access to online accounts on or around December 26, 2015.The information compromised included usernames, passwords, names, mailing addresses, phone numbers, last four digits of payment card along with purchase histories. ""The firm suspects the attacker obtained the login credentials from large breaches at other companies where login names and passwords were stolen in order to gain unauthorized access to other accounts where victims might use the same credentials. Rawlinson said, customers will be required to reset their passwords on all NMG websites the next time they log into their accounts.""More information: http://www.scmagazine.com/attacker-accesses-5200-neiman-marcus-group-cus...","Media",""
"February 4, 2016","University of Central Florida","Orlando, Florida","HACK","EDU","63,000","63,000","The University of Central Florida notified current and former students of a data breach when they discovered unauthorized access into the university system.The information compromised included financial records, medical records, grades and Social Security numbers. ""We have established a call center that you can contact at 877-752-5527 between 9 a.m. and 9 p.m. EST Monday through Friday if you have questions about this incident.""The university will be providing one year free of credit monitoring to those who were affectedMore information: http://www.ucf.edu/datasecurity/","Security Breach Letter",""
"January 25, 2016","Livongo Health Inc.","Chicago, Illinois","PHYS","MED","1950","Unknown","Per Health and Human Services Livongo Health suffered a breach when paper files/films were breached. There is no information as to what type of information was compromised in the breach.More information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"January 14, 2016","G&S Medical Associates, LLC","Paterson, New Jersey","HACK","MED","3000","Unknown","G&S Medical Associates, LLC suffered a data breach when a desktop computer was hacked. The type of information hacked was not disclosed by HHS.More information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"January 14, 2016","Blue Shield of California","Los Angeles, California","HACK","MED","20764","Unknown","Per Health and Human Services Blue Shield of California suffered a data breach when one of their network servers was hacked. No information was provided as to what information was compromised in the hack. More information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"January 15, 2016","New West Health Services dba New West Medicare","Kalispell, Montana","PORT","MED","28209","Unknown","Per Health and Human Services, New West Health Services, dba New West Medicare suffered a data breach when a laptop went missing. The information compromised was not disclosed.More information:https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"January 4, 2016","Elite Imaging","Aventura, Florida","PHYS","MED","1,457","Unknown","Per Health and Human Services, Elite Imaging notified HHS of a data breach when they discovered paper files had been stolen. What specific personal information was compromised was not communicated. More information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"February 2, 2016","Grx Holdings LLC dba Medicap Pharmacy","West Des Moines, Iowa","PHYS","MED","2300","Unknown","Grx Holdings, LLC dba Medicap Pharmacy notified Health and Human Services of a data breach when they suffered a loss of information. There are no specifics as to what kind of loss it was or what type of information was compromised. More information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"February 9, 2016","Washington State Health Authority (HCA)","Washington, District Of Columbia","INSD","GOV","91,000","91,000","""The Washington State Health Authority (HCA) said Tuesday that an employee mishandled the Social Security numbers, dates of birth, Apple Health client ID numbers and private health information of 91,000 Apple Health (Medicaid) clients.""The employees involved worked at two different state agencies and they exchanged files of clients which violates HIPAA. They are not clear if any of the files were disseminated beyond the two employees who exchanged the files. More information: http://www.king5.com/story/news/health/2016/02/09/state-data-breach-impa...","Media",""
"February 10, 2016","Internal Revenue Service","Washington , District Of Columbia","HACK","GOV","101,000","101,000","""The IRS revealed on Tuesday that it discovered and stopped an automated cyberattack on its e-filing personal identification number (PIN) system last month. According to the IRS, the cybercriminals used information stolen “elsewhere outside the IRS” to generate e-file PINs for stolen Social Security numbers (SSNs). E-file PINs are used by some taxpayers to electronically file their tax returns. Although no personal taxpayer data were compromised or disclosed by the breach, the IRS noted that the cybercriminals succeeded in using 101,000 SSNs to access e-file PINs (out of 464,000 attempts).""The IRS is notifying individuals and placing markers on their tax accounts to try and catch any fraudulent tax returns being filed. More information: http://www.journalofaccountancy.com/news/2016/feb/irs-data-breach-expose...","Media",""
"February 1, 2016","IATSE Local 134","San Jose, California","HACK","BSO","Unknown","Unknown","IA 134 notified individuals of a data breach when a laptop that belonged to the organization was connected to a network at Levi's Stadium was hacked compromising personal information.Individual Social Security numbers may have been compromised.More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-59899","California Attorney General",""
"February 18, 2016","Hollywood Presbyterian Hospital","New York, New York","HACK","BSO","Unknown","Unknown","Hollywood Presbyterian Hospital paid $17,000 in bitcoin in order to retrieve records they held for ransom against the hospital. The hackers installed a malicious ransomware on their server to hold patient records hostage so the hospital staff could not access any record. More information: http://www.csmonitor.com/USA/Justice/2016/0218/Why-California-hospital-p...","Media",""
"February 5, 2016","Gyft","Mountain View, California","HACK","BSR","Unknown","Unknown","Gyft notified customers of a data breach when they discovered unauthorized access to two cloud providers used by the company contained personal information of customers.The information compromised included names, addresses, dates of birth, phone numbers, email addresses, and gift card numbers. Gift cards may have been used to make purchases on their site. The dates of the breach were March 19, 2015 and December 4, 2015.For additional information on the breach go to www.myidcare.com/gyft.More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-59990 ","California Attorney General",""
"February 8, 2016","BajaBound.com (Mexican Insurance Services)","Baja, California","HACK","BSF","Unknown","Unknown","Bajabound.com notified customers of a data breach when they discovered an agent's email account was compromised through a phishing attack. The company investigated the incident and the phishing was meant to collect email addresses. The information that was compromised included names, addresses, dates of birth, driver's license numbers, and credit card numbers.More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-60000","California Attorney General",""
"January 21, 2016","Kicky Pants, Inc.","Seattle, Washington","HACK","BSO","Unknown","Unknown","Kicky Pants (previously spelled KicKee Pants) notified customers of a data breach when the company discovered unauthorized access into their system.  The breach occurred between September 24, 2015 and December 26, 2015.The information compromised included firs and last names, credit card numbers, expiration dates, security codes on the back of cards, billing address, telephone numbers and email addresses.The company is offering identity theft protection services through ID Experts. They can be reached at 1-866-833-7924 Monday through Friday 6 a.m to 6 p.m Pacific Standard Time. The deadline to enroll is Aprill 22, 2016.More information:http://oag.ca.gov/ecrime/databreach/reports/sb24-59770 ","California Attorney General",""
"January 25, 2016","California Virtual Academies","Simi Valley, California","DISC","EDU","Unknown","Unknown","California Virtual Academies (CAVA) notified individuals of a data breach to their system. On December 9, 2015 the company discovered a ""vulnerability in a data storage system"" belonging to a third party provider.For those with questions call 1-805-587-0202 Monday through Friday 8:00 a.m to 5:00 p.m Pacific Standard Time.More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-59786","California Attorney General",""
"January 25, 2016","RealSelf","Seattle, Washington","HACK","BSO","Unknown","Unknown","RealSelf.com notified customers of a data breach when they company noticed unauthorized access to their consumer data located on their servers. The information compromised included username, email address and passwords.The company is encouraging customers to change their passwords which can be done by clicking on the link at https://www.realselft.com/user/forgotPasswordMore information:http://oag.ca.gov/ecrime/databreach/reports/sb24-59793","California Attorney General",""
"January 25, 2016","HealthEquity","Draper, Utah","DISC","MED","Unknown","Unknown","Health Equity notified individuals of a data breach when an employee inadvertently sent an email on December 11, 2015 containing personal information to another employer the company conducts business with.The information compromised included Social Security numbers.The company is providing identity monitoring services through Kroll for one year for free. More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-59797","California Attorney General",""
"January 26, 2016","County of San Diego","San Diego, California","DISC","GOV","Unknown","Unknown","The County of San Diego Human Resources Department notified employees of a data breach when information involving employees Wells Fargo Health Savings Accounts. The County stated,  ""data regarding County employees who elected to set up HSAs was sent to Wells Fargo. The information compromised includes names, addresses, Social Security Number, birthdate, employee ID, primary email, work phone number, personal phone number.More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-59801","California Attorney General",""
"February 26, 2016","Bailey's Inc.","Woodland , California","HACK","BSO","15000 credit/debit cards","15,000","Bailey's Inc. have notified  customers of a data breach when an unauthorized party access their website server, obtaining credit card information of customers who puchased items from the company's online store.More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-59802","California Attorney General",""
"February 12, 2016","Magnolia Health Corporation","Tulare, California","HACK","MED","Unknown","Unknown","Magnolia Health Corporation has notified individuals of a data breach when someone impersonating the CEO in an email, obtained personal information for all active employees of the health center. Magnolia Health Corporation and each of their facilities managed including Twin Oaks Assisted Living, Inc., Twin Oaks Rehabilitation And Nursing Center, Inc., Porterville Convalescent, Inc., Kaweah Manor, Inc., Merritt Manor Inc.The personal information compromised included employee numbers, names, addresses, city, state, zip code, sex, dates of birth, Social Security numbers, hire dates, seniority dates, salary/hourly, salary/rates, departments, job titles, last dates paid, and names of facility.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-60061","California Attorney General",""
"March 6, 2016","Seagate","Scottsvalley, California","HACK","BSO","Minimum 2,000 up to less then 10,000","2,000","Seagate notified current and former employees of a data breach, when an employee feel for a phishing attack that exposed W2 information of employees.""Email scam artists last week tricked an employee at data storage giant Seagate Technology into giving away W-2 tax documents on all current and past employees, KrebsOnSecurity has learned. W-2 forms contain employee Social Security numbers, salaries and other personal data, and are highly prized by thieves involved in filing phony tax refund requests with the Internal Revenue Service (IRS) and the states.""The information compromised includes all information found on a W2 form, which includes Social Security numbers. The company is not saying exactly how many individuals were affected at this time, only that “It’s accurate to say several thousand. But less 10,000 by a good amount.”More information: https://krebsonsecurity.com/2016/03/seagate-phish-exposes-all-employee-w...","Krebs On Security",""
"March 7, 2016","Turner Construction ","San Diego, California","DISC","BSO","Unknown","Unknown","Turner Construction notified individuals of a data breach when 
certain personal information was disclosed in an email to an 
unauthorized party. The information included names, Social 
Security number, name of each state in which wages or taxes are 
reported, federal, state, local and Medicare earnings and tax 
withholding data.The company is providing identity monitoring services through Kroll. For those affected call 1-877-451-9366.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-60340","Maryland Attorney General",""
"March 4, 2016","Snapchat","Venice, California","HACK","BSO","700 employees according to the CEO statement","700","Snapchat has notified current and former employes of a phishing scam that targeted their payroll department that compromised employee information.The information compromised included names, Snapchat employee ID, Social Security numbers, state of residence and work, 2015 wages earned, including stock-option gains, costs of company paid benefits for life and health insurance, relocation reimbursements, employee contricutions to retirement, dependent care, and healthcare plans, additional required payments and taxes withheld. More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-60310 ","California Attorney General",""
